URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Cluster,Predicted_Type,Anomaly
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,42,11,0.5849056493414029,0.1177777775160494,13.23529372837372,0.2488888883358025,5.393673046683808,13.23529372837372,112,450,2.102222217550617,2,7.255555539432099,1,Blog,Normal
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,13,2,0.7333332844444478,0.0632911389734551,10.77272678305787,0.2320675095693354,4.401917717050884,10.77272678305787,55,237,1.962025308177108,2,7.06329110943759,0,News,Normal
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,14,2,0.7499999531250029,0.06249999975585938,11.63636310743804,0.3203124987487793,4.782670242474728,11.63636310743804,82,256,2.203124991394043,2,7.656249970092774,1,Blog,Normal
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,15,2,0.7647058373702448,0.06772908339550165,11.95238038321998,0.2908366522277424,4.89728681417909,11.95238038321998,73,251,2.095617521531404,2,7.406374472484564,0,News,Normal
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,22,1,0.9130434385633287,0.09311740852988903,11.22727221694217,0.2874493915487879,4.605888643396384,11.22727221694217,71,247,2.190283391942172,2,7.732793490960351,1,Blog,Normal
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,25,3,0.7857142576530622,0.1102362200384401,11.54545402066118,0.2874015736716474,4.733142237733132,11.54545402066118,73,254,2.173228337900676,2,7.681102331964164,1,Blog,Normal
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,17,9,0.3076922958579886,0.09885931521346268,11.95454491115705,0.3079847897034799,4.905011880344212,11.95454491115705,81,263,2.114068433026356,2,7.323193888504966,1,Blog,Normal
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,19,5,0.5833333090277788,0.04938271594777219,13.13513478013149,0.2736625508772376,5.363518932403492,13.13513478013149,133,486,2.084362135628885,2,7.203703688881268,1,Blog,Normal
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,25,2,0.8518518203017844,0.0490909090016529,15.27777735339508,0.2327272723041322,6.204201850279683,15.27777735339508,128,550,1.963636360066116,1,7.149090896092562,0,News,Normal
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,19,7,0.4615384437869829,0.04999999990384615,13.684210166205,0.28076923022929,5.585991758573715,13.684210166205,146,520,2.084615380606509,7,7.371153831978551,1,Blog,Normal
